shop,shop_id,item_id,product_name,current_price,original_price,discount_percent,rating,rating_count,sold_count,monthly_sold,liked_count,brand,product_url,product_name_clean,sold_count_num,monthly_sold_num,shop_clean,product_type,product_name_norm,storage_options,canonical_product_name,canonical_product_id,absa_weighted_sum,absa_weight_sum,total_aspect_mentions,avg_positive_rate,avg_negative_rate,avg_neutral_rate,absa_score_raw,absa_score,BATTERY_positive_rate,CAMERA_positive_rate,DESIGN_positive_rate,FEATURES_positive_rate,GENERAL_positive_rate,PERFORMANCE_positive_rate,PRICE_positive_rate,SCREEN_positive_rate,SERANDACC_positive_rate,STORAGE_positive_rate,BATTERY_negative_rate,CAMERA_negative_rate,DESIGN_negative_rate,FEATURES_negative_rate,GENERAL_negative_rate,PERFORMANCE_negative_rate,PRICE_negative_rate,SCREEN_negative_rate,SERANDACC_negative_rate,STORAGE_negative_rate,BATTERY_neutral_rate,CAMERA_neutral_rate,DESIGN_neutral_rate,FEATURES_neutral_rate,GENERAL_neutral_rate,PERFORMANCE_neutral_rate,PRICE_neutral_rate,SCREEN_neutral_rate,SERANDACC_neutral_rate,STORAGE_neutral_rate,BATTERY_total_mentions,CAMERA_total_mentions,DESIGN_total_mentions,FEATURES_total_mentions,GENERAL_total_mentions,PERFORMANCE_total_mentions,PRICE_total_mentions,SCREEN_total_mentions,SERANDACC_total_mentions,STORAGE_total_mentions,price_score,rating_score,sold_score,review_confidence_score,absa_score_norm,buy_score_100,recommendation_label,rank,num_shops,price_advantage_score,absa_compare_score,rating_compare_score,sold_compare_score,review_trust_score,same_product_buy_score,rank_in_same_product
apple_flagship_store,88201679,26210898087,Apple AirPods 4th gen,3590000.0,3590000.0,0,4.916817033561891,0.0,20k+ sold,973 Sold/Month,7329,Apple,https://shopee.vn/product/88201679/26210898087,apple airpods 4th gen,20000,973,apple_flagship_store,earphone_speaker,apple airpods 4th gen,,airpods 4,2,923.6,932.0,932.0,0.8906032306049413,0.0508122157244964,0.0585845536705624,0.9909871244635192,99.54935622317596,1.0,0.75,0.9298245614035088,0.9277777777777778,0.9847715736040608,0.9801980198019802,0.8095238095238095,0.6666666666666666,0.9666666666666668,0.0,0.0,0.0,0.0350877192982456,0.0222222222222222,0.0,0.0,0.0476190476190476,0.3333333333333333,0.019047619047619,0.0,0.0,0.25,0.0350877192982456,0.05,0.015228426395939,0.0198019801980198,0.1428571428571428,0.0,0.0142857142857142,0.0,15.0,4.0,114.0,180.0,197.0,101.0,105.0,6.0,210.0,0.0,1.0,0.9833634067123782,0.9001483982037645,0.9799649957797583,0.9954935622317597,97.8339509320544,Đáng mua,2,2,1.0,1.0,0.37459800308903496,1.0,1.0,90.61897004633552,1
viettel_store_aar,308461157,27415713043,Tai nghe Bluetooth AirPods 4 Chính hãng,4490000.0,4490000.0,0,4.941127694859039,0.0,6k+ sold,523 Sold/Month,2691,Apple,https://shopee.vn/product/308461157/27415713043,tai nghe bluetooth airpods 4 chính hãng,6000,523,viettel_store_aar,earphone_speaker,airpods 4,,airpods 4,2,653.5,693.0,693.0,0.8668502216260959,0.0691914111750481,0.063958367198856,0.943001443001443,97.15007215007216,0.8,0.5,0.9019607843137256,0.8536585365853658,0.9761904761904762,0.9491525423728814,0.9142857142857144,1.0,0.9064039408866996,0.0,0.1,0.25,0.0784313725490196,0.048780487804878,0.0119047619047619,0.0508474576271186,0.0285714285714285,0.0,0.0541871921182266,0.0,0.1,0.25,0.0196078431372549,0.0975609756097561,0.0119047619047619,0.0,0.0571428571428571,0.0,0.0394088669950738,0.0,10.0,4.0,51.0,123.0,168.0,59.0,70.0,5.0,203.0,0.0,0.5714285714285714,0.9882255389718078,0.7907279835543999,0.9375568307026915,0.9715007215007216,84.431734770515,Đáng mua,25,2,0.5714285714285714,0.6463179341618256,1.0,0.4770697474403557,0.7226399215110773,65.91484059442801,2
viettel_store_aar,308461157,27665729077,Tai nghe AirPods 4 Khử ồn chủ động Chính hãng,5690000.0,5690000.0,0,4.902255639097745,0.0,2k+ sold,37 Sold/Month,856,Apple,https://shopee.vn/product/308461157/27665729077,tai nghe airpods 4 khử ồn chủ động chính hãng,2000,37,viettel_store_aar,earphone_speaker,tai nghe airpods 4 khử ồn chủ động,,airpods 4,2,273.70000000000005,320.0,320.0,0.7124167618723575,0.1229140243898575,0.1646692137377849,0.8553125000000001,92.765625,0.5,0.0,0.8378378378378378,0.864406779661017,0.948051948051948,0.9333333333333332,0.7241379310344828,0.0,0.891566265060241,0.0,0.5,0.0,0.1081081081081081,0.0508474576271186,0.0129870129870129,0.0666666666666666,0.1724137931034483,0.0,0.072289156626506,0.0,0.0,1.0,0.054054054054054,0.0847457627118644,0.0389610389610389,0.0,0.1034482758620689,0.0,0.036144578313253,0.0,4.0,1.0,37.0,59.0,77.0,30.0,29.0,0.0,83.0,0.0,0.0,0.9804511278195489,0.6909036392444722,0.8270656841408609,0.92765625,66.07292148646667,Đáng cân nhắc,100,2,0.0,0.0,0.0,0.0,0.0,0.0,3
apple_flagship_store,88201679,25171387783,Sạc Apple 20W USB-C Power Adapter,429000.0,790000.0,46,4.944547530687982,0.0,60k+ sold,2k+ Sold/Month,6271,Apple,https://shopee.vn/product/88201679/25171387783,sạc apple 20w usb-c power adapter,60000,2000,apple_flagship_store,charger_cable_accessory,sạc apple 20w usb c power adapter,,apple 20w usb c power adapter,5,835.3,813.0,813.0,0.9038749771234876,0.0743288809586297,0.0217961419178826,1.0274292742927429,100.0,0.8758620689655172,1.0,0.8863636363636364,0.5,0.99163179916318,1.0,0.8962264150943396,1.0,0.9847908745247148,0.0,0.0344827586206896,0.0,0.1136363636363636,0.5,0.0,0.0,0.0094339622641509,0.0,0.0114068441064638,0.0,0.0896551724137931,0.0,0.0,0.0,0.00836820083682,0.0,0.0943396226415094,0.0,0.0038022813688212,0.0,145.0,1.0,44.0,2.0,239.0,11.0,106.0,2.0,263.0,0.0,1.0,0.9889095061375963,1.0,0.9604120213543338,1.0,99.38231033629528,Đáng mua,1,2,1.0,1.0,0.6770791235523115,1.0,1.0,95.15618685328468,1
viettel_store_aar,308461157,4953760805,Phụ kiện Apple 20W USB-C Power Adapter chính hãng ZA/A,549000.0,650000.0,16,4.960810810810811,0.0,6k+ sold,222 Sold/Month,1949,Apple,https://shopee.vn/product/308461157/4953760805,phụ kiện apple 20w usb-c power adapter chính hãng za/a,6000,222,viettel_store_aar,charger_cable_accessory,apple 20w usb c power adapter za a,,apple 20w usb c power adapter,5,513.7,506.0,506.0,0.9423377813826712,0.0393229296180244,0.0183392889993041,1.0152173913043478,100.0,0.9508196721311476,0.0,0.935483870967742,1.0,0.981012658227848,0.8571428571428571,0.8297872340425532,1.0,0.9844559585492229,0.0,0.0163934426229508,0.0,0.032258064516129,0.0,0.0063291139240506,0.1428571428571428,0.1063829787234042,0.0,0.0103626943005181,0.0,0.0327868852459016,0.0,0.032258064516129,0.0,0.0126582278481012,0.0,0.0638297872340425,0.0,0.005181347150259,0.0,61.0,0.0,31.0,1.0,158.0,14.0,47.0,1.0,193.0,0.0,0.820627802690583,0.9921621621621621,0.7907279835543999,0.8925652370807309,1.0,91.14551043463113,Đáng mua,13,2,0.820627802690583,1.0,1.0,0.5437360788699604,0.9293565857516775,87.06844112128367,2
viettel_store_aar,308461157,23979354842,COMBO Củ sạc Apple 20W USB-C Power Adapter + Cáp sạc Apple USB-C TO LIGHTNING CABLE (1 M) Chính hãng,1098000.0,1300000.0,16,4.952127659574468,0.0,926 sold,35 Sold/Month,286,Apple,https://shopee.vn/product/308461157/23979354842,combo củ sạc apple 20w usb-c power adapter + cáp sạc apple usb-c to lightning cable 1 m chính hãng,926,35,viettel_store_aar,charger_cable_accessory,apple 20w usb c power adapter + apple usb c to lightning cable 1 m,,apple 20w usb c power adapter,5,72.6,86.0,86.0,0.7993471582181261,0.1530337941628264,0.0476190476190476,0.8441860465116279,92.2093023255814,0.75,0.0,1.0,0.0,0.9285714285714286,0.5,0.7142857142857143,0.0,0.9032258064516128,0.0,0.0,0.0,0.0,0.0,0.0357142857142857,0.5,0.2857142857142857,0.0,0.0967741935483871,0.0,0.25,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,0.0,28.0,2.0,7.0,0.0,31.0,0.0,0.0,0.9904255319148936,0.6209672076063297,0.6399786941709517,0.922093023255814,63.185596391776755,Trung bình,121,2,0.0,0.8441860465116281,0.8275888513024081,0.1736162768835393,0.6663584794247783,47.00724311238583,3
viettel_store_aar,308461157,26884380242,COMBO Củ sạc Apple 20W USB-C Power Adapter + Cáp sạc Apple USB-C to USB-C 60W (1m) Chính hãng,1098000.0,1100000.0,0,4.91044776119403,0.0,385 sold,41 Sold/Month,96,Apple,https://shopee.vn/product/308461157/26884380242,combo củ sạc apple 20w usb-c power adapter + cáp sạc apple usb-c to usb-c 60w 1m chính hãng,385,41,viettel_store_aar,charger_cable_accessory,apple 20w usb c power adapter + apple usb c to usb c 60w 1m,,apple 20w usb c power adapter,5,,,0.0,0.0,0.0,,,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.982089552238806,0.5413356025887578,0.0,0.5,42.761825083607484,Cần cân nhắc,264,2,0.0,0.0,0.0,0.0,0.0,0.0,4
viettel_store_aar,308461157,17455633222,Phụ kiện Apple USB-C TO LIGHTNING CABLE (1 M) Chính hãng (dùng cho iPhone 14 series trở xuống),549000.0,639000.0,14,4.965122332118688,0.0,10k+ sold,463 Sold/Month,2122,Apple,https://shopee.vn/product/308461157/17455633222,phụ kiện apple usb-c to lightning cable 1 m chính hãng dùng cho iphone 14 series trở xuống,10000,463,viettel_store_aar,charger_cable_accessory,apple usb c to lightning cable 1 m dùng cho iphone 14 series trở xuống,,apple usb c to lightning cable,10,600.1,632.0,632.0,0.892125461716105,0.0655829658753635,0.0422915724085314,0.9495253164556964,97.4762658227848,0.8289473684210527,1.0,0.8636363636363636,0.7142857142857143,0.9833333333333332,0.8333333333333334,0.8703703703703703,1.0,0.9352226720647774,0.0,0.0921052631578947,0.0,0.1136363636363636,0.1428571428571428,0.0055555555555555,0.1111111111111111,0.0925925925925925,0.0,0.0323886639676113,0.0,0.0789473684210526,0.0,0.0227272727272727,0.1428571428571428,0.0111111111111111,0.0555555555555555,0.037037037037037,0.0,0.0323886639676113,0.0,76.0,2.0,44.0,7.0,180.0,18.0,54.0,4.0,247.0,0.0,0.0,0.9930244664237377,0.8371516844512277,0.9243727205914489,0.9747626582278479,70.9043715479931,Đáng cân nhắc,64,2,0.0,1.0,0.0,1.0,1.0,54.99999999999999,1
shopdunk_official_store,288286284,21487622742,"Cáp sạc nhanh Belkin 30W USB Type C - Lightning, 1M",389000.0,425000.0,8,4.982758620689655,0.0,340 sold,32 Sold/Month,47,Belkin,https://shopee.vn/product/288286284/21487622742,"cáp sạc nhanh belkin 30w usb type c - lightning, 1m",340,32,shopdunk_official_store,charger_cable_accessory,cáp belkin 30w usb type c lightning 1m,,apple usb c to lightning cable,10,,,0.0,0.0,0.0,,,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9965517241379309,0.5300691438038321,0.0,0.5,67.8820716398161,Đáng cân nhắc,88,2,1.0,0.0,1.0,0.0,0.0,44.99999999999999,2
apple_flagship_store,88201679,28032850215,Apple iPad A16 11 inch 2025 Wifi 128GB,9800000.0,10990000.0,11,4.9454667112746735,0.0,10k+ sold,1k+ Sold/Month,9796,Apple,https://shopee.vn/product/88201679/28032850215,apple ipad a16 11 inch 2025 wifi 128gb,10000,1000,apple_flagship_store,tablet,apple ipad a16 11 inch 2025 wifi 128gb,128gb,ipad a16 128gb,72,955.9,978.0,978.0,0.8738006163321085,0.0402499236437555,0.085949460024136,0.9774028629856852,98.87014314928426,0.7692307692307693,0.5,0.940677966101695,0.9591836734693876,0.9850746268656716,0.974025974025974,0.7196969696969697,0.9365079365079364,0.9536082474226804,1.0,0.1538461538461538,0.0,0.0423728813559322,0.010204081632653,0.0049751243781094,0.0064935064935064,0.106060606060606,0.0476190476190476,0.0309278350515463,0.0,0.0769230769230769,0.5,0.0169491525423728,0.0306122448979591,0.0099502487562189,0.0194805194805194,0.1742424242424242,0.0158730158730158,0.0154639175257731,0.0,13.0,2.0,118.0,98.0,201.0,154.0,132.0,63.0,194.0,3.0,1.0,0.9890933422549347,0.8371516844512277,0.9868616663975063,0.9887014314928426,96.86880172062745,Đáng mua,3,2,1.0,1.0,0.0,1.0,1.0,85.0,1
